,Start Timestamp,End Timestamp,Start Latitude,Start Longitude,End Latitude,End Longitude,Distance,Activity,Confidence
80,2022-06-09 21:52:10+00:00,2022-06-09 21:56:09+00:00,47..6650491,-117..4155348,47..6706359,-117..4065764,1480,IN_PASSENGER_VEHICLE,HIGH
81,2022-06-09 23:33:33.162000+00:00,2022-06-09 23:44:45.264000+00:00,47..6709581,-117..4050962,47..6746601,-117..3910091,2951,IN_PASSENGER_VEHICLE,HIGH
82,2022-06-10 16:49:44+00:00,2022-06-10 16:57:02.860000+00:00,47..6748393,-117..3912648,47..6668666,-117..4011621,1985,IN_PASSENGER_VEHICLE,HIGH
83,2022-06-10 22:58:38.587000+00:00,2022-06-10 23:09:50+00:00,47..6665224,-117..4006247,47..6747688,-117..3909018,1660,IN_PASSENGER_VEHICLE,HIGH
84,2022-06-11 01:45:05.712000+00:00,2022-06-11 01:46:57.990000+00:00,47..6746936,-117..3910643,47..6749230,-117..3961692,391,IN_PASSENGER_VEHICLE,HIGH
85,2022-06-11 01:55:18.588000+00:00,2022-06-11 02:06:08+00:00,47..6744871,-117..3967381,47..6673427,-117..4070609,2200,IN_PASSENGER_VEHICLE,HIGH
86,2022-06-11 03:45:03.354000+00:00,2022-06-11 03:50:53.823000+00:00,47..6672047,-117..4068357,47..6634851,-117..4105952,1101,IN_PASSENGER_VEHICLE,HIGH
87,2022-06-11 05:33:39.500000+00:00,2022-06-11 05:39:48.139000+00:00,47..6635104,-117..4107326,47..6749087,-117..3909172,2169,IN_PASSENGER_VEHICLE,HIGH
88,2022-06-11 21:53:47+00:00,2022-06-11 22:04:32.391000+00:00,47..6748112,-117..3911655,47..7092012,-117..4107886,5163,IN_PASSENGER_VEHICLE,HIGH
89,2022-06-11 22:23:04.600000+00:00,2022-06-11 22:38:34.624000+00:00,47..7081444,-117..4106931,47..7416585,-117..4030372,5619,IN_PASSENGER_VEHICLE,HIGH
90,2022-06-11 23:28:40.469000+00:00,2022-06-11 23:44:39.537000+00:00,47..7403329,-117..4067290,47..6742573,-117..3919470,8472,IN_PASSENGER_VEHICLE,HIGH
91,2022-06-12 00:38:30+00:00,2022-06-12 00:54:39.130000+00:00,47..6747923,-117..3912005,47..6597513,-117..4243001,4396,IN_PASSENGER_VEHICLE,HIGH
92,2022-06-12 02:59:03.555000+00:00,2022-06-12 03:19:01.934000+00:00,47..6587030,-117..4184381,47..6748533,-117..3909056,5401,IN_PASSENGER_VEHICLE,LOW
93,2022-06-12 03:26:21.730000+00:00,2022-06-12 03:34:07.323000+00:00,47..6746221,-117..3908116,47..7049283,-117..3971516,3745,IN_PASSENGER_VEHICLE,HIGH
94,2022-06-12 06:50:21.931000+00:00,2022-06-12 06:56:28.400000+00:00,47..7048680,-117..3987048,47..6759379,-117..3903741,3804,IN_PASSENGER_VEHICLE,HIGH
95,2022-06-12 19:36:30.913000+00:00,2022-06-12 20:11:02.030000+00:00,47..6747120,-117..3911615,47..8566214,-117..2767402,22834,IN_PASSENGER_VEHICLE,HIGH
96,2022-06-13 00:52:54+00:00,2022-06-13 01:13:46.766000+00:00,47..8562106,-117..2755222,47..7478562,-117..3988073,15528,IN_PASSENGER_VEHICLE,HIGH
97,2022-06-13 01:31:25.870000+00:00,2022-06-13 01:48:47.612000+00:00,47..7478340,-117..4003673,47..6747616,-117..3906831,9837,IN_PASSENGER_VEHICLE,HIGH
98,2022-06-13 02:33:38+00:00,2022-06-13 03:08:34+00:00,47..6747985,-117..3911935,47..6956912,-117..3735850,32905,IN_PASSENGER_VEHICLE,HIGH
99,2022-06-13 03:45:43+00:00,2022-06-13 03:50:28+00:00,47..6952553,-117..3742453,47..6748113,-117..3911887,2964,IN_PASSENGER_VEHICLE,HIGH
100,2022-06-13 16:51:49.210000+00:00,2022-06-13 17:01:02.443000+00:00,47..6745728,-117..3911292,47..6665386,-117..4006108,1663,IN_PASSENGER_VEHICLE,HIGH
101,2022-06-13 23:02:34.340000+00:00,2022-06-13 23:13:59.356000+00:00,47..6668509,-117..4006581,47..6746816,-117..3907824,2472,IN_PASSENGER_VEHICLE,HIGH
102,2022-06-14 03:02:57+00:00,2022-06-14 03:04:56+00:00,47..6747786,-117..3914875,47..6723308,-117..4110651,1557,IN_PASSENGER_VEHICLE,HIGH
103,2022-06-14 03:10:24+00:00,2022-06-14 03:15:59+00:00,47..6713489,-117..4102105,47..6748446,-117..3911933,2071,IN_PASSENGER_VEHICLE,HIGH
104,2022-06-14 16:50:14.429000+00:00,2022-06-14 16:59:30.831000+00:00,47..6746870,-117..3909980,47..6675576,-117..4011387,1590,IN_PASSENGER_VEHICLE,HIGH
